Skill_ID,Skill,Type
1,Leadership ,1
2,Six Sigma ,2
3,Healthcare Inmation Technology ,2
4,Healthcare ,2
5,Process Improvement ,1
6,Management ,1
7,Product Management ,2
8,Integration ,2
9,Product Development ,2
10,Healthcare Industry ,2
11,Strategic Planning ,1
12,Hospitals ,2
13,Program Management ,2
14,New Business Development ,2
15,Business Development ,2
16,Product Launch ,2
17,Mergers & Acquisitions ,2
18,Executive Management ,2
19,EMR ,2
20,P&L Management ,2
21,Change Management ,2
22,Operations Management ,2
23,Team Building ,1
24,Acquisition Integration ,2
25,Medical Imaging ,2
26,Start-ups ,1
27,EHR ,2
28,Product Marketing ,2
29,Clinical Research ,2
30,Lean Manufacturing ,2
31,Competitive Analysis ,2
32,Sales ,2
33,Strategic Partnerships ,1
34,Cardiology ,2
35,Revenue Cycle ,2
36,PACS ,2
37,Budgets ,2
38,Strategic Leadership ,1
39,Market Development ,2
40,HL ,2
41,Operational Excellence ,1
42,HIPAA ,2
43,Radiology ,2
44,Global Marketing ,2
45,DICOM,2
46,Entrepreneurship ,1
47,Healthcare,2
48,Social Networking ,1
49,Business Strategy ,2
50,Strategy ,1
51,Nutrition ,2
52,Social Media ,2
53,Public Speaking ,1
54,Marketing ,2
55,Team Building,1
56,Training ,1
57,Management Consulting ,2
58,Fitness ,1
59,Inmation Technology ,2
60,Internal Audit ,2
61,Risk Management ,2
62,Social Media Marketing ,2
63,Leadership Development ,1
64,Wellness ,1
65,Personal Training ,1
66,Business Consulting ,2
67,Weight Loss Coaching ,1
68,Small Business ,2
69,Business Operations ,2
70,Enterprise Software ,2
71,Enterprise Software,2
72,Software Development ,2
73,SDLC ,2
74,Software Project Management  ,2
75,Databases   ,2
76,Cloud Computing   ,2
77,SOA ,2
78,Web Applications   ,2
79,SaaS  ,2
80,Microsoft SQL Server  ,2
81,Software Design ,2
82,XML   ,2
83,Architecture ,2
84,Enterprise Architecture   ,2
85,SQL ,2
86,Web Services  ,2
87,Business Intelligence,2
88,C# ,2
89,Scrum  ,2
90,IT Strategy  ,2
91,Mobile Applications ,2
92,Require Analysis ,2
93,.NET  ,2
94,HTML ,2
95,Technical Leadership  ,1
96,Visual Basic   ,2
97,ASP.NET ,2
98,Software Engineering,2
99,AJAX ,2
100,System Architecture,2
101,UML  ,2
102,Programming ,2
103,Business Process Automation ,2
104,BPM  ,2
105,Application Development  ,2
106,Application Architecture  ,2
107,Visual Studio  ,2
108,Business Management ,2
109,VB.NET     VB.NET,2
110,Agile   ,2
111,SQL Server  ,2
112,C++  ,2
113,EAI ,2
114,jQuery UI  ,2
115,AngularJS  ,2
116,Bootstrap ,2
117,Design Strategies ,2
118,Workflow ,2
119,.Net Workflow  ,2
120,Financial Analysis  ,2
121,Financial Analysis,2
122,Analysis     Analysis,2
123,Management     Management,2
124,Banking  ,2
125,Finance ,2
126,Strategy  ,1
127,ALM ,2
128,Analytics ,1
129,Training   ,1
130,Financial Modeling   ,2
131,Financial Risk  ,2
132,Leadership  ,1
133,Business Analysis ,2
134,Invest ,2
135,Business Process Improvement ,2
136,Microsoft Excel ,2
