"","Title_Level","ID","Skill_Name","Skill_ID","Skill_Type","SkillEndorsed","No_Times_Endorsed"
"1","4","2","Healthcare",47,2,0,0
"2","4","2","Sarbanes-Oxley ",541,2,0,0
"3","4","2","Biotechnology",500,2,0,0
"4","4","2","Dreamweaver",526,2,0,0
"5","4","2","Problem Solving",506,1,0,0
"6","4","3","C     C",NA,NA,0,0
"7","4","3","Active Directory ",447,2,1,53
"8","4","3","Qt Creator",484,2,1,35
"9","4","3","Windows Server  R ",455,2,1,54
"10","4","3","CUDA",471,2,0,0
"11","4","4","Multithreading",392,2,1,23
"12","4","4","Require Analysis ",92,2,1,59
"13","4","4","Require Analysis ",288,2,0,0
"14","4","4","Require Analysis ",512,2,0,0
"15","4","4","MVC",393,2,0,0
"16","4","4","LIMS ",245,2,1,48
"17","4","4","Evangelism",375,2,1,56
"18","4","5","Pre-sales ",251,2,1,34
"19","4","5","Telecommunications ",271,2,1,42
"20","4","5","Outsourcing ",197,2,1,24
"21","4","5","Biochemistry ",216,2,1,38
"22","4","5","Business Intelligence ",195,2,1,42
"23","4","5","SAP R/ ",201,2,1,53
"24","4","5","Strategy ",50,1,0,0
"25","4","5","Strategy ",126,1,1,53
"26","4","5","Home Care ",160,2,1,41
"27","4","5","SaaS ",79,2,1,46
"28","4","5","Case Managment ",159,2,0,0
"29","4","6","Public Speaking ",53,1,1,27
"30","4","6","Public Speaking ",170,1,0,0
"31","4","6","Financial Services ",137,2,1,22
"32","4","6","Personal Training ",65,1,0,0
"33","4","6","jQuery UI ",114,2,0,0
"36","4","6","EAI ",113,2,1,27
"37","4","6","PACS ",36,2,0,0
"38","4","6","Data Analysis",140,2,1,42
"39","4","6","System Architecture",100,2,0,0
"41","4","7","HIPAA ",42,2,1,58
"42","4","7","Application Development ",105,2,0,0
"43","4","7","Social Media Marketing ",62,2,1,52
"44","4","7","Executive Management ",18,2,1,29
"45","4","7","Cardiology ",34,2,1,50
"46","4","7","Strategic Partnerships ",33,1,0,0
"47","4","7","Social Media ",52,2,1,42
"48","4","7","Social Media ",585,1,0,0
"49","4","7","Clinical Research ",29,2,1,37
"50","4","7","Clinical Research ",146,2,1,36
"51","4","7","Entrepreneurship ",46,1,1,59
"52","4","7","Data Analysis",140,2,1,58
"53","3","8","Enterprise Software",71,2,0,0
"54","3","8","Design Strategies ",117,2,1,58
"55","3","8","jQuery UI ",114,2,1,58
"56","3","8","Strategic Partnerships ",33,1,1,22
"58","3","8","System Architecture",100,2,0,0
"59","3","8","Sales ",32,2,0,0
"60","3","8","Change Management ",21,2,1,47
"61","3","8","Software Development ",72,2,1,20
"62","3","8","Software Development ",278,2,0,0
"63","3","8","SaaS ",79,2,1,38
"64","4","9","BPM ",104,2,0,0
"65","4","9","Leadership ",1,1,0,0
"66","4","9","Leadership ",132,1,1,21
"68","4","9","EAI ",113,2,0,0
"69","4","9","Process Improvement ",5,1,1,58
"70","4","9","Process Improvement ",228,2,1,20
"71","4","9","Process Improvement ",277,2,1,33
"72","4","9","Change Management ",21,2,1,42
"73","4","9","jQuery UI ",114,2,0,0
"74","4","9","Risk Management ",61,2,1,58
"75","4","9","Scrum ",89,2,1,49
"76","4","9","Executive Management ",18,2,1,37
"77","5","10","HTML ",94,2,0,0
"78","5","10","HTML ",421,2,0,0
"79","5","10","HIPAA ",42,2,0,0
"80","5","10","Mobile Applications ",91,2,0,0
"81","5","10","ASP.NET ",97,2,1,27
"82","5","10","Strategic Partnerships ",33,1,0,0
"83","5","10","Strategy ",50,1,1,47
"84","5","10","Strategy ",126,1,1,46
"85","5","10","Data Analysis",140,2,0,0
"86","5","10","Financial Analysis ",120,2,1,32
"87","5","10","Financial Analysis ",544,2,0,0
"88","5","10","Small Business ",68,2,1,44
"89","5","10","Process Improvement ",5,1,1,47
"90","5","10","Process Improvement ",228,2,1,33
"91","5","10","Process Improvement ",277,2,0,0
"92","4","11","Invest ",134,2,1,53
"93","4","11","Cardiology ",34,2,1,50
"94","4","11","Business Intelligence",87,2,1,53
"95","4","11","Team Building",55,1,0,0
"96","4","11","Finance ",125,2,0,0
"97","4","11","System Architecture",100,2,0,0
"98","4","11","Enterprise Software",71,2,1,27
"99","4","11","Six Sigma ",2,2,1,47
"100","4","11","Healthcare",47,2,1,35
"101","4","11","Strategy ",50,1,0,0
"102","4","11","Strategy ",126,1,1,50
"103","4","12","Wellness ",64,1,1,25
"104","4","12","P&L Management ",20,2,1,27
"105","4","12","Visual Basic ",96,2,1,21
"106","4","12","Scrum ",89,2,1,42
"107","4","12","Healthcare Industry ",10,2,1,35
"108","4","12","Healthcare Industry ",152,2,0,0
"109","4","12","Medical Imaging ",25,2,0,0
"110","4","12","Management ",6,1,0,0
"111","4","12","Management ",149,1,1,43
"112","4","12","Management ",492,1,0,0
"113","4","12","Business Intelligence",87,2,1,34
"114","4","12","Analytics ",128,1,0,0
"115","4","12","Risk Management ",61,2,1,50
"116","4","13","SaaS ",79,2,0,0
"117","4","13",NA,NA,NA,1,37
"118","4","13","Strategy ",50,1,1,22
"119","4","13","Strategy ",126,1,0,0
"120","4","13","Financial Risk ",131,2,0,0
"121","4","13","Financial Risk ",181,2,1,27
"122","4","13","VB.NET     VB.NET",109,2,0,0
"123","4","13","Business Strategy",141,2,0,0
"124","4","13","Leadership ",1,1,1,26
"125","4","13","Leadership ",132,1,1,20
"127","4","13","Competitive Analysis ",31,2,0,0
"128","4","13","Cloud Computing ",76,2,1,53
"129","4","13","Cloud Computing ",248,2,0,0
"130","4","14","Programming ",102,2,0,0
"131","4","14","Programming ",547,2,1,28
"132","4","14","Budgets ",37,2,0,0
"133","4","14","ALM ",127,2,0,0
"134","4","14","Cardiology ",34,2,1,23
"135","4","14","Business Intelligence",87,2,0,0
"136","4","14","Market Development ",39,2,1,27
"139","4","14","Mergers & Acquisitions ",17,2,1,31
"140","4","14","Operations Management ",22,2,1,47
"141","4","14","Operations Management ",169,2,1,26
"142","4","14","jQuery UI ",114,2,1,42
"143","4","15","AJAX ",99,2,1,36
"144","4","15","Radiology ",43,2,1,57
"145","4","15","HL ",40,2,0,0
"146","4","15","SDLC ",73,2,0,0
"147","4","15","Bootstrap ",116,2,1,47
"148","4","15","Hospitals ",12,2,0,0
"149","4","15","Medical Imaging ",25,2,0,0
"150","4","15","Financial Analysis",121,2,1,26
"151","4","15","Entrepreneurship ",46,1,1,58
"152","4","15","Enterprise Software ",70,2,0,0
"153","2","16","SDLC ",73,2,0,0
"154","2","16","Enterprise Architecture ",84,2,0,0
"155","2","16","Enterprise Architecture ",185,2,0,0
"156","2","16","Wellness ",64,1,1,46
"157","2","16","Six Sigma ",2,2,0,0
"158","2","16","Business Process Automation ",103,2,0,0
"159","2","16","Healthcare",47,2,0,0
"160","2","16","Web Applications ",78,2,0,0
"161","2","16","Inmation Technology ",59,2,1,34
"162","2","16","Inmation Technology ",451,2,1,28
"163","2","16","Strategic Planning ",11,1,0,0
"164","2","16","Strategic Planning ",326,2,1,28
"165","2","16","Leadership ",1,1,0,0
"166","2","16","Leadership ",132,1,1,28
"167","4","17","ALM ",127,2,0,0
"168","4","17","Business Process Improvement ",135,2,1,20
"169","4","17","Business Process Improvement ",190,2,0,0
"170","4","17","Web Applications ",78,2,0,0
"171","4","17","SDLC ",73,2,1,47
"172","4","17","Finance ",125,2,1,53
"173","4","17","EMR ",19,2,1,51
"176","4","17","Healthcare Inmation Technology ",3,2,1,39
