Skill6	Skill5	Skill4	Skill3	Skill2	Skill1
Leadership 	Healthcare Management 	Business Analysis 	Software Architectural Design   	Customer Service 	Statistics 
Six Sigma 	Healthcare 	Pharmaceutical Industry 	Java    	Microsoft Office  	Java  
Healthcare Inmation Technology 	Hospitals 	SharePoint	Python 	Management   	Python 
Healthcare 	Managed Care   	Integration	Ruby on Rails   	Troubleshooting	Programming  
Process Improvement 	Healthcare Inmation Technology 	Drug Discovery 	Machine Learning  	Networking 	Linux 
Management 	Nursing 	SDLC 	Computer Vision	Pharmaceutical Industry 	Leadership
Product Management 	EMR	Data Analysis  	 JavaScript	Outlook     Outlook	Research
Integration 	Clinical Research  	Business Process Improvement 	Node.js  	Windows      Windows 	Objective-C 
Product Development S	Disease Management 	Project Management 	Amazon Web Services (AWS)	Windows XP     Windows XP	HTML  
Healthcare Industry 	Leadership	Validation 	Big Data	Windows 	Data Analysis
Strategic Planning 	Management  	Electronic Lab Notebooks 	Amazon Dynamodb  	Microsoft Word   	Event Planning 
Hospitals 	Healthcare Consulting	Project Portfolio Management 	ElasticSearch 	Remote Desktop   	Javascript 
Program Management 	Physicians 	Data Management   	Data Visualization  	Microsoft Outlook 	Ruby     Ruby
New Business Development 	Healthcare Industry  	Inmation Technology 	Swift  	Technical Support   	ReactJS  
Business Development 	Strategic Planning 	Six Sigma	iOS Development   	Biotechnology	Rails  
Product Launch 	Medicare   	Analysis  	MongoDB  	Dameware	CSS  
Mergers & Acquisitions 	Program Management 	LIMS  	HTML 	Computer Hardware	HTML  
Executive Management 	Medicine 	Require Analysis   	C  	Avaya	Git 
EMR 	Medicaid  	Change Control	Django  	Active Directory	Github 
P&L Management 	Project Management 	Scientific Data Management	Linux  	VNC	Sinatra  
Change Management 	Utilization Management  	Vaccines	Data Analysis  	Healthcare	RSpec 
Operations Management 	Case Management 	Biologics	SASS   	Problem Solving	Jasmine  
Team Building 	Team Building 	Agile Methodologies	NoSQL  	Polycom Video Conferencing	Enzyme 
Acquisition Integration 	Case Managment     	Project Management   	MySQL  	VPN	Pair Programming 
Medical Imaging 	Home Care   	IT Management 	CSS  	Project Management	Data Analysis
