"","ID","Title_Level","l"
"1","219","1","C++"
"2","219","1","Sales"
"3","219","1","Laboratory Inmation Management System (LIMS)"
"4","219","1","JSON "
"5","219","1","Leadership "
"6","470","4","IT Management "
"7","470","4","Permance Tuning"
"8","470","4","JavaScript"
"9","470","4","Cloud Foundry"
"10","470","4","Analysis "
"11","172","1","Mathematical Modeling "
"12","172","1","CSS "
"13","172","1","Microsoft Excel"
"14","172","1","Objective-C "
"15","172","1","Social Media "
"16","270","3","Project Planning"
"17","270","3","Social Networking "
"18","270","3","JavaScript "
"19","270","3","NoSQL "
"20","270","3","Internet Protocol Suite (TCP/IP)"
"21","143","4","Wicket"
"22","143","4","SDLC "
"23","143","4","OpenStack"
"24","143","4","Project Portfolio Management "
"25","143","4","Validation "
"26","149","4","Sales"
"27","149","4","JSON"
"28","149","4","Project Management "
"29","149","4","Netflix OSS"
"30","149","4","Strategic Planning "
"31","260","1","Leadership"
"32","260","1","C++"
"33","260","1","RSpec "
"34","260","1","JSON "
"35","260","1","Sinatra "
"36","284","6","Workflow "
"37","284","6","Technical Leadership "
"38","284","6","Strategic Planning "
"39","284","6","SOA "
"40","284","6","Lean Manufacturing "
"41","284","6","Bootstrap "
"42","284","6","Change Management "
"43","284","6","Design Strategies "
"44","284","6","jQuery UI "
"45","284","6","Analytics "
"46","334","3","VMware Infrastructure"
"47","334","3","Microsoft Exchange"
"48","334","3","Verilog "
"49","334","3","Embedded Systems "
"50","334","3","Amazon Dynamodb "
"51","235","3","Spring "
"52","235","3","Virtual Private Network (VPN)"
"53","235","3","Microsoft Exchange"
"54","235","3","Linux"
"55","235","3","Inventory Management"
"56","438","6","Product Management "
"57","438","6","Invest "
"58","438","6","Credit Risk "
"59","438","6","Enterprise Software"
"60","438","6","Business Operations "
"61","438","6","Databases "
"62","438","6","Social Media Marketing "
"63","438","6","SQL Server "
"64","438","6","Business Intelligence"
"65","438","6",".NET "
"66","294","5","Software Project Management "
"67","294","5","Lifesciences"
"68","294","5","Physician Relations "
"69","294","5","LIMS "
"70","294","5","Situational Leadership "
"71","294","5","Program/Project Management "
"72","294","5","Home Care "
"73","294","5","Technology Transfer "
"74","294","5","Business Development "
"75","294","5","CFR Part"
"76","241","5","Leadership"
"77","241","5","Project Management "
"78","241","5","Case Managment "
"79","241","5","Sales Process "
"80","241","5","Case Management "
"81","241","5","Microsoft Office"
"82","241","5","Business Process Improvement "
"83","241","5","DNA "
"84","241","5","FDA "
"85","241","5","IT Strategy "
"86","217","1","Java "
"87","217","1","Github "
"88","217","1","Management"
